modelName,modelPath,sourceLanguages,targetLanguages,sourceLanguage,targetLanguage,modelURL,description,prependTargetLanguage
opus-mt-tc-big-en-cat_oci_spa,Helsinki-NLP/opus-mt-tc-big-en-cat_oci_spa,eng,cat spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-cat_oci_spa,"Neural machine translation model for translating from English (en) to Catalan, Occitan and Spanish (cat+oci+spa).",True
opus-mt-tc-big-en-ces_slk,Helsinki-NLP/opus-mt-tc-big-en-ces_slk,eng,ces,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-ces_slk,Neural machine translation model for translating from English (en) to Czech and Slovak (ces+slk).,False
opus-mt-tc-big-en-el,Helsinki-NLP/opus-mt-tc-big-en-el,eng,ell,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-el,Neural machine translation model for translating from English (en) to Modern Greek (1453-) (el).,False
opus-mt-tc-big-en-es,Helsinki-NLP/opus-mt-tc-big-en-es,eng,spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-es,Neural machine translation model for translating from English (en) to Spanish (es).,False
opus-mt-tc-big-en-et,Helsinki-NLP/opus-mt-tc-big-en-et,eng,est,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-et,Neural machine translation model for translating from English (en) to Estonian (et).,False
opus-mt-tc-big-en-fi,Helsinki-NLP/opus-mt-tc-big-en-fi,eng,fin,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-fi,Neural machine translation model for translating from English (en) to Finnish (fi).,False
opus-mt-tc-big-en-fr,Helsinki-NLP/opus-mt-tc-big-en-fr,eng,fra,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-fr,Neural machine translation model for translating from English (en) to French (fr).,False
opus-mt-tc-big-en-gmq,Helsinki-NLP/opus-mt-tc-big-en-gmq,eng,dan fao isl nno nob nor swe,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-gmq,Neural machine translation model for translating from English (en) to North Germanic languages (gmq).,True
opus-mt-tc-big-en-hu,Helsinki-NLP/opus-mt-tc-big-en-hu,eng,hun,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-hu,Neural machine translation model for translating from English (en) to Hungarian (hu).,False
opus-mt-tc-big-en-it,Helsinki-NLP/opus-mt-tc-big-en-it,eng,ita,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-it,Neural machine translation model for translating from English (en) to Italian (it).,False
opus-mt-tc-big-en-ko,Helsinki-NLP/opus-mt-tc-big-en-ko,eng,kor,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-ko,Neural machine translation model for translating from English (en) to Korean (ko).,False
opus-mt-tc-big-en-lt,Helsinki-NLP/opus-mt-tc-big-en-lt,eng,lit,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-lt,Neural machine translation model for translating from English (en) to Lithuanian (lt).,False
opus-mt-tc-big-en-lv,Helsinki-NLP/opus-mt-tc-big-en-lv,eng,lav,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-lv,Neural machine translation model for translating from English (en) to Latvian (lv).,False
opus-mt-tc-big-en-pt,Helsinki-NLP/opus-mt-tc-big-en-pt,eng,pob por,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-pt,Neural machine translation model for translating from English (en) to Portuguese (pt).,True
opus-mt-tc-big-en-ro,Helsinki-NLP/opus-mt-tc-big-en-ro,eng,ron,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-ro,Neural machine translation model for translating from English (en) to Romanian (ro).,False
opus-mt-tc-big-en-tr,Helsinki-NLP/opus-mt-tc-big-en-tr,eng,tur,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-tr,Neural machine translation model for translating from English (en) to Turkish (tr).,False
opus-mt-tc-big-en-zle,Helsinki-NLP/opus-mt-tc-big-en-zle,eng,bel rus ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-zle,Neural machine translation model for translating from English (en) to East Slavic languages (zle).,True
opus-mt-tc-big-es-zle,Helsinki-NLP/opus-mt-tc-big-es-zle,spa,bel rus ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-es-zle,Neural machine translation model for translating from Spanish (es) to East Slavic languages (zle).,True
opus-mt-tc-big-et-en,Helsinki-NLP/opus-mt-tc-big-et-en,est,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-et-en,Neural machine translation model for translating from Estonian (et) to English (en).,False
opus-mt-tc-big-eu-itc,Helsinki-NLP/opus-mt-tc-big-eu-itc,eus,fra ita spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-eu-itc,Neural machine translation model for translating from Basque (eu) to Italic languages (itc).,True
opus-mt-tc-big-fa-gmq,Helsinki-NLP/opus-mt-tc-big-fa-gmq,fas,dan,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-fa-gmq,Neural machine translation model for translating from Persian (fa) to North Germanic languages (gmq).,False
opus-mt-tc-big-fa-itc,Helsinki-NLP/opus-mt-tc-big-fa-itc,fas,fra ita por ron spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-fa-itc,Neural machine translation model for translating from Persian (fa) to Italic languages (itc).,True
opus-mt-tc-big-fi-en,Helsinki-NLP/opus-mt-tc-big-fi-en,fin,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-fi-en,Neural machine translation model for translating from Finnish (fi) to English (en).,False
opus-mt-tc-big-fi-zle,Helsinki-NLP/opus-mt-tc-big-fi-zle,fin,rus ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-fi-zle,Neural machine translation model for translating from Finnish (fi) to East Slavic languages (zle).,True
opus-mt-tc-big-fi-zls,Helsinki-NLP/opus-mt-tc-big-fi-zls,fin,bul hrv slv srp_Cyrl,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-fi-zls,Neural machine translation model for translating from Finnish (fi) to South Slavic languages (zls).,True
opus-mt-tc-big-fr-en,Helsinki-NLP/opus-mt-tc-big-fr-en,fra,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-fr-en,Neural machine translation model for translating from French (fr) to English (en).,False
opus-mt-tc-big-fr-zle,Helsinki-NLP/opus-mt-tc-big-fr-zle,fra,bel rus ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-fr-zle,Neural machine translation model for translating from French (fr) to East Slavic languages (zle).,True
opus-mt-tc-big-gmq-ar,Helsinki-NLP/opus-mt-tc-big-gmq-ar,dan swe,ara,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-gmq-ar,Neural machine translation model for translating from North Germanic languages (gmq) to Arabic (ar).,False
opus-mt-tc-big-gmq-en,Helsinki-NLP/opus-mt-tc-big-gmq-en,dan fao isl nno nob nor swe,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-gmq-en,Neural machine translation model for translating from North Germanic languages (gmq) to English (en).,False
opus-mt-tc-big-gmq-gmq,Helsinki-NLP/opus-mt-tc-big-gmq-gmq,dan fao isl nno nob nor swe,dan isl nno nob nor swe,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-gmq-gmq,Neural machine translation model for translating from North Germanic languages (gmq) to North Germanic languages (gmq).,True
opus-mt-tc-big-gmq-he,Helsinki-NLP/opus-mt-tc-big-gmq-he,dan nor swe,heb,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-gmq-he,Neural machine translation model for translating from North Germanic languages (gmq) to Hebrew (he).,False
opus-mt-tc-big-gmq-itc,Helsinki-NLP/opus-mt-tc-big-gmq-itc,dan isl nno nob nor swe,cat fra glg ita lat por ron spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-gmq-itc,Neural machine translation model for translating from North Germanic languages (gmq) to Italic languages (itc).,True
opus-mt-tc-big-gmq-tr,Helsinki-NLP/opus-mt-tc-big-gmq-tr,dan nno nob nor swe,tur,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-gmq-tr,Neural machine translation model for translating from North Germanic languages (gmq) to Turkish (tr).,False
opus-mt-tc-big-gmq-zle,Helsinki-NLP/opus-mt-tc-big-gmq-zle,dan isl nob nor swe,rus ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-gmq-zle,Neural machine translation model for translating from North Germanic languages (gmq) to East Slavic languages (zle).,True
opus-mt-tc-big-gmq-zlw,Helsinki-NLP/opus-mt-tc-big-gmq-zlw,dan nob nor swe,ces pol,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-gmq-zlw,Neural machine translation model for translating from North Germanic languages (gmq) to West Slavic languages (zlw).,True
opus-mt-tc-big-gmw-gmw,Helsinki-NLP/opus-mt-tc-big-gmw-gmw,afr deu eng enm fry gos gsw hrx ksh ltz multi nds nld pdc sco stq swg tpi yid,afr ang deu eng enm fry gos ltz multi nds nld sco tpi yid,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-gmw-gmw,Neural machine translation model for translating from West Germanic languages (gmw) to West Germanic languages (gmw).,True
opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-tc-big-he-en,heb,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-he-en,Neural machine translation model for translating from Hebrew (he) to English (en).,False
opus-mt-tc-big-he-gmq,Helsinki-NLP/opus-mt-tc-big-he-gmq,heb,dan nob nor swe,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-he-gmq,Neural machine translation model for translating from Hebrew (he) to North Germanic languages (gmq).,True
opus-mt-tc-big-he-itc,Helsinki-NLP/opus-mt-tc-big-he-itc,heb,cat fra glg ita por ron spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-he-itc,Neural machine translation model for translating from Hebrew (he) to Italic languages (itc).,True
opus-mt-tc-big-hu-en,Helsinki-NLP/opus-mt-tc-big-hu-en,hun,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-hu-en,Neural machine translation model for translating from Hungarian (hu) to English (en).,False
opus-mt-tc-big-it-en,Helsinki-NLP/opus-mt-tc-big-it-en,ita,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-it-en,Neural machine translation model for translating from Italian (it) to English (en).,False
opus-mt-tc-big-it-zle,Helsinki-NLP/opus-mt-tc-big-it-zle,ita,bel rus ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-it-zle,Neural machine translation model for translating from Italian (it) to East Slavic languages (zle).,True
opus-mt-tc-big-itc-ar,Helsinki-NLP/opus-mt-tc-big-itc-ar,cat fra glg ita lat_Latn por ron spa,ara,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-itc-ar,Neural machine translation model for translating from Italic languages (itc) to Arabic (ar).,False
opus-mt-tc-big-itc-bat,Helsinki-NLP/opus-mt-tc-big-itc-bat,cat fra glg ita por spa,lav lit prg,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-itc-bat,Neural machine translation model for translating from Italic languages (itc) to Baltic languages (bat).,True
opus-mt-tc-big-itc-eu,Helsinki-NLP/opus-mt-tc-big-itc-eu,fra ita spa,eus,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-itc-eu,Neural machine translation model for translating from Italic languages (itc) to Basque (eu).,False
opus-mt-tc-big-itc-he,Helsinki-NLP/opus-mt-tc-big-itc-he,cat fra glg ita lad_Latn por ron spa,heb,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-itc-he,Neural machine translation model for translating from Italic languages (itc) to Hebrew (he).,False
opus-mt-tc-big-itc-itc,Helsinki-NLP/opus-mt-tc-big-itc-itc,ast cat cbk fra fro glg hat ita lad lad_Latn lat lat_Latn lij lld oci pms por ron spa,ast cat fra gcf glg hat ita lad lad_Latn lat lat_Latn oci por ron spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-itc-itc,Neural machine translation model for translating from Italic languages (itc) to Italic languages (itc).,True
opus-mt-tc-big-itc-tr,Helsinki-NLP/opus-mt-tc-big-itc-tr,cat fra glg ita lad lad_Latn oci por ron spa,tur,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-itc-tr,Neural machine translation model for translating from Italic languages (itc) to Turkish (tr).,False
opus-mt-tc-big-ko-en,Helsinki-NLP/opus-mt-tc-big-ko-en,kor,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-ko-en,Neural machine translation model for translating from Korean (ko) to English (en).,False
opus-mt-tc-big-lt-en,Helsinki-NLP/opus-mt-tc-big-lt-en,lit,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-lt-en,Neural machine translation model for translating from Lithuanian (lt) to English (en).,False
opus-mt-tc-big-lv-en,Helsinki-NLP/opus-mt-tc-big-lv-en,lav,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-lv-en,Neural machine translation model for translating from Latvian (lv) to English (en).,False
opus-mt-tc-big-pt-zle,Helsinki-NLP/opus-mt-tc-big-pt-zle,por,rus ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-pt-zle,Neural machine translation model for translating from Portuguese (pt) to East Slavic languages (zle).,True
opus-mt-tc-big-sh-en,Helsinki-NLP/opus-mt-tc-big-sh-en,bos_Latn hrv srp_Cyrl srp_Latn,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-sh-en,Neural machine translation model for translating from Serbo-Croatian (sh) to English (en).,False
opus-mt-tc-big-tr-en,Helsinki-NLP/opus-mt-tc-big-tr-en,tur,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-tr-en,Neural machine translation model for translating from Turkish (tr) to English (en).,False
opus-mt-tc-big-zh-ja,Helsinki-NLP/opus-mt-tc-big-zh-ja,zho,jpn,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zh-ja,Neural machine translation model for translating from Chinese (zh) to Japanese (ja).,False
opus-mt-tc-big-zle-de,Helsinki-NLP/opus-mt-tc-big-zle-de,bel rus ukr,deu,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-de,Neural machine translation model for translating from East Slavic languages (zle) to German (de).,False
opus-mt-tc-big-zle-en,Helsinki-NLP/opus-mt-tc-big-zle-en,bel rus ukr,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-en,Neural machine translation model for translating from East Slavic languages (zle) to English (en).,False
opus-mt-tc-big-zle-es,Helsinki-NLP/opus-mt-tc-big-zle-es,bel rue rus ukr,spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-es,Neural machine translation model for translating from East Slavic languages (zle) to Spanish (es).,False
opus-mt-tc-big-zle-fi,Helsinki-NLP/opus-mt-tc-big-zle-fi,rus ukr,fin,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-fi,Neural machine translation model for translating from East Slavic languages (zle) to Finnish (fi).,False
opus-mt-tc-big-zle-fr,Helsinki-NLP/opus-mt-tc-big-zle-fr,bel rus ukr,fra,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-fr,Neural machine translation model for translating from East Slavic languages (zle) to French (fr).,False
opus-mt-tc-big-zle-gmq,Helsinki-NLP/opus-mt-tc-big-zle-gmq,rus ukr,dan nob nor swe,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-gmq,Neural machine translation model for translating from East Slavic languages (zle) to North Germanic languages (gmq).,True
opus-mt-tc-big-zle-it,Helsinki-NLP/opus-mt-tc-big-zle-it,bel rus ukr,ita,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-it,Neural machine translation model for translating from East Slavic languages (zle) to Italian (it).,False
opus-mt-tc-big-zle-itc,Helsinki-NLP/opus-mt-tc-big-zle-itc,bel rue rus ukr,cat fra glg ita lad_Latn por ron spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-itc,Neural machine translation model for translating from East Slavic languages (zle) to Italic languages (itc).,True
opus-mt-tc-big-zle-pt,Helsinki-NLP/opus-mt-tc-big-zle-pt,rus ukr,por,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-pt,Neural machine translation model for translating from East Slavic languages (zle) to Portuguese (pt).,False
opus-mt-tc-big-zle-zle,Helsinki-NLP/opus-mt-tc-big-zle-zle,bel rus ukr,bel rus ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-zle,Neural machine translation model for translating from East Slavic languages (zle) to East Slavic languages (zle).,True
opus-mt-tc-big-zle-zls,Helsinki-NLP/opus-mt-tc-big-zle-zls,bel rus ukr,bul hbs hrv slv srp_Cyrl srp_Latn,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-zls,Neural machine translation model for translating from East Slavic languages (zle) to South Slavic languages (zls).,True
opus-mt-tc-big-zle-zlw,Helsinki-NLP/opus-mt-tc-big-zle-zlw,bel rus ukr,ces pol,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zle-zlw,Neural machine translation model for translating from East Slavic languages (zle) to West Slavic languages (zlw).,True
opus-mt-tc-big-zls-de,Helsinki-NLP/opus-mt-tc-big-zls-de,bos_Latn bul hbs hrv mkd slv srp_Cyrl srp_Latn,deu,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zls-de,Neural machine translation model for translating from South Slavic languages (zls) to German (de).,False
opus-mt-tc-big-zls-en,Helsinki-NLP/opus-mt-tc-big-zls-en,bos_Latn bul hbs hrv mkd slv srp_Cyrl srp_Latn,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zls-en,Neural machine translation model for translating from South Slavic languages (zls) to English (en).,False
opus-mt-tc-big-zls-itc,Helsinki-NLP/opus-mt-tc-big-zls-itc,bos_Latn bul hbs hrv mkd slv srp_Cyrl srp_Latn,fra ita por ron spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zls-itc,Neural machine translation model for translating from South Slavic languages (zls) to Italic languages (itc).,True
opus-mt-tc-big-zls-zle,Helsinki-NLP/opus-mt-tc-big-zls-zle,bul hbs hrv slv srp_Cyrl srp_Latn,bel rus ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zls-zle,Neural machine translation model for translating from South Slavic languages (zls) to East Slavic languages (zle).,True
opus-mt-tc-big-zlw-en,Helsinki-NLP/opus-mt-tc-big-zlw-en,ces dsb hsb pol,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zlw-en,Neural machine translation model for translating from West Slavic languages (zlw) to English (en).,False
opus-mt-tc-big-zlw-zle,Helsinki-NLP/opus-mt-tc-big-zlw-zle,ces dsb hsb pol,bel rus ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-zlw-zle,Neural machine translation model for translating from West Slavic languages (zlw) to East Slavic languages (zle).,True
