amh,ara,ben,cmn,deu,eng,fra,hau,heb,hin,ind,ita,jpn,mar,pcm,por,rus,spa,swh,tel,tur,ukr,urd,vie
ሞዴል አማራጮች,اختر خيارات النموذج,মডেল বিকল্প নির্বাচন করুন,选择模式选项,Modelloptionen auswählen,Select model options,Sélectionner les options de modèle,Zaɓi zaɓuɓɓukan samfuri,בחר אפשרויות דגם,मॉडल विकल्प चुनें,Pilih pilihan model,Seleziona opzioni modello,モデルオプションを選択,मॉडेल पर्याय निवडा,Choose model options abeg,Selecione opções de modelo,Выберите варианты модели,Seleccionar opciones de modelo,Mzozo wa uteuzi huonekana kuwa wa thamani.,మోడల్ ఆప్షన్ లను ఎంచుకోండి,Model seçenekleri seçin,Виберіть параметри моделі,ماڈل کے اختیارات منتخب کریں,Chọn tùy chọn mô hình
ተጨማሪ መረጃ,مزيد من المعلومات,আরও তথ্য,更多信息: 家庭健康与健康,Mehr Informationen,More information,Plus d'informations,Karin bayani,מידע נוסף,अधिक जानकारी,Informasi lebih lanjut,Ulteriori informazioni,もっと情報,अधिक माहिती,More wahala,Mais informações,Дополнительная информация,Más información,habari zaidi.,మరియు దీని,Daha fazla bilgi,Докладніше,مزید معلومات,Thông tin thêm
ብጁ,مخصص,কাস্টম,自定义,Gewohnheit,Custom,Personnalisé,Al'ada,מותאם אישית,कस्टम,Adat,Personalizzato,標準,सानुकूल,special wey,Personalizado,Пользовательские,Personalizado,Na hukaa muda.,స్టార్ట్,Özel,Власне,اپنی مرضی کے مطابق,Tùy chỉnh
መግለጫ,وصف,বর্ণনা,说明,Beschreibung,Description,Description,Bayani,תיאור,विवरण,Keterangan,Designazione delle merci,説明,वर्णन,Bí a ṣe àkójọpọ̀,Descrição,Описание,Descripción,"Asema neno hili, huandikwa ndani yake mtu.",స్పష్టన,Açıklama,Опис,تفصیل,Mô tả
ምንም ሞዴል አልተመረጠም,لا يوجد نموذج مختار,কোনো মডেল নির্বাচিত হয়নি,没有选择模式,Kein Modell ausgewählt,No model selected,Aucun modèle sélectionné,Babu samfurin da aka zaɓa,לא נבחר דגם,कोई मॉडल चयनित नहीं,Tidak ada model yang dipilih,Nessun modello selezionato,選択したモデルはありません,मॉडेल निवडले नाही,No model wey dem choose,Nenhum modelo selecionado,Нет модели выбранной,No hay modelo seleccionado,Si kila mtu anajiona kuwa ni mteule.,స్వీకరించిన మోడల్ లేదు,Hiç model seçilmedi,Не вибрано моделі,کوئی ماڈل منتخب نہیں کیا گیا,Không chọn kiểu
ምንጭን ጽሑፍ ያስገቡ,أدخل نص المصدر,উৎসের টেক্সট লিখুন,输入源文本,Quelltext eingeben,Enter source text,Entrez le texte source,Shigar da rubutun tushe,הזן טקסט מקור,स्रोत पाठ भरें,Masukkan teks sumber,Inserisci testo sorgente,源文字を入力,स्त्रोत पाठ्य प्रविष्ट करा,put am for sosi teks,Digite o texto fonte,Введите исходный текст,Introduzca el texto fuente,Nakala ya kitabu hicho,రెండవ స్టాక్స్లో లోపలి,Kaynak metin girin,Введіть вихідний текст,ماخذ متن درج کریں,Nhập văn bản nguồn
ምንጭ ጽሑፍ,نص المصدر,উৎসের পাঠ্য,源文本,Quelltext,Source text,Texte source,Tushen rubutu,טקסט מקור,स्रोत पाठ,Teks sumber,Testo sorgente,ソーステキスト,स्त्रोत पाठ्य,Sosi teks,Texto de origem,Источник текста,Texto fuente,chanzo cha habari,రెండవ రెండవ రెండవ,Kaynak metin,Вихідний текст,ماخذ متن,Văn bản nguồn
ተርጉም,ترجمة,অনুবাদ করুন,翻译,Übersetzen,Translate,Traduire,Fassara,תרגום,अनुवाद करें,Terjemah,Traduci,口座,भाषांतर,Tradus,Tradução,Перевод,Traducir,Kutafsiri.,ట్రెల్ట్,Çevir,Переклад,ترجمہ کریں,Dịch
ባዶ መስመሮችን አስወግድ,أزل الخطوط الفارغة,ফাঁকা লাইন মুছে ফেলুন,删除空行,Leere Zeilen entfernen,Remove empty lines,Supprimer les lignes vides,Cire layi mara komai,הסר קווים ריקים,खाली पंक्तियाँ हटाएँ,Hapus garis kosong,Rimuovi righe vuote,空のラインを削除,रिकामी ओळी काढूण टाका,Make empty line no dey show again,Remover linhas vazias,Удалить пустые строки,Eliminar líneas vacías,Sikilizeni enyi watu.,రూపం లీన్లు వేయండి,Boş satırları sil,Вилучити порожні рядки,خالی لائنیں ہٹا دیں,Xóa các dòng trống
መኖሪያ ቤት,نسخة,অনুলিপি,复制,Kopieren,Copy,Copier,Kwafi,עותק,प्रतिलिपि,Salin,Copia,コピー,प्रत बनवा,Copy am,Copiar,Копировать,Copiar,PICHA,కోపం,Kopyala,Копіювати,کاپی کریں,Sao chép
የተቀባ!,-نسخت,কপি করা হয়েছে!,收到,Kopieren!,Copied!,Copie!,Kwafi!,עותק!,नक़ल किया गया!,Dikopi!,Copiato!,コピー!,कॉपी केली!,E don copy!,Entendido!,Скопируйте!,¡Copiado!,Jicho la kuchongwa!,కోపం!,Anlaşıldı!,Скопіюйте!,نقل کیا گیا!,Đã sao chép!
የተገናኙ,متصل,সংযুক্ত,已连接,Vernetzung,Connected,Connecté,An haɗa,מחובר,कनेक्टेड,Terhubung,Connesso,接続,जोडलेले,Dem don join together,Conectado,Подключен,Conectado,Imeunganishwa,స్టార్క్,Bağlı,Підключено,منسلک,Liên hệ
የቀድሞው ሞተር / ሞዴል,المحرك الافتراضي / نموذج,ডিফল্ট ইঞ্জিন/মডেল,默认后端/模式,Standardmotor/Modell,Default engine/model,Moteur/modèle par défaut,Injin tsoho/abin koyi,מנוע ברירת מחדל/מודל,डिफ़ॉल्ट इंजन/मॉडल,Model mesin baku,Modello predefinito del motore,デフォルトモーターモデル,मुलभूत इंजिन मॉडेल,Standard motor/model wey dey work for everywhere,Modelo de motor padrão,Модель двигателя по умолчанию,Motor/modelo por defecto,Mtindo wa umbo la mtu ni mfano wa,డాబ్ట్ యోజన్ మోటల్,Öntanımlı motor modeli,Модель двигуна за замовчуванням,ڈیفالٹ انجن ماڈل,Mô hình động cơ mặc định
ፕሮግራም,نموذج نشط,সক্রিয় মডেল,活动模式,Aktives Modell,Active model,Modèle actif,Samfurin aiki,מודל פעיל,सक्रिय मॉडल,Model Aktif,Modello attivo,活動モデル,सक्रिय मॉडेल,Juju wey dey work,Modelo ativo,Активная модель,Modelo activo,Mfano wa mfano wa kuigwa.,స్పాట్ మోడల్,Etkin model,Активна модель,فعال ماڈل,Mô hình hoạt động
ከፍተኛ ነጭ ተቃራኒ,تباين أبيض عالي,উচ্চ বিপরীতে সাদা,高比照白,Hoher Kontrast Weiß,High contrast white,Blanc à contraste élevé,Babban bambanci fari,ניגודיות גבוהה לבן,उच्च विपरीत सफेद,Putih kontras tinggi,Bianco ad alto contrasto,高い白,उच्च कंट्रास्ट पांढरा,Bala white wey dey sharp,Branco de alto contraste,Белый высокий контраст,Blanco de alto contraste,Wapinzani wa rangi nyeupe,హెచ్చరీ స్పాటు గొప్ప,Yüksek kontrast beyaz,Високий контраст білий,اعلی برعکس سفید,Độ tương phản cao trắng
ከፍተኛ ጥቁር ተቃራኒ,تباين أسود عالي,উচ্চ বিপরীতে কালো,高比黑色,Schwarz mit hohem Kontrast,High contrast black,Noir à contraste élevé,Babban bambanci baƙar fata,ניגודיות גבוהה שחור,उच्च विपरीत काले,Kontras tinggi hitam,Nero ad alto contrasto,高い母黒,उच्च कंट्रास्ट काळा,Black wey dey shine well well,Preto de alto contraste,Высокий контраст черный,Negro de alto contraste,Walikuwa na upinde wa mvua kubwa.,హెలీక్ట్ నగర,Yüksek kontrast siyah,Високий контраст чорний,اعلی برعکس سیاہ,Độ tương phản cao đen
ጨለማ,الظلام,ডার্ক,黑色,Dunkelheit,Dark,Noir,Duhu,אפלה,डार्क,Gelap,Buio,ダイカ,गडद,Dáàk,Dark,Темный,Negro,giza gizani.,చీకటి,Koyu,Темні,اندھیرا,Tối
ሚኩ,ميكو,মিকু,美仓,Miku,Miku,Miku,Miku,מיקו,मिकू,Miku,Miku,ミューク,मिकी,Miku,Miku,Мику,Miku,Miko,మిక్,Miku,Міку,میک,Miku
